,Match_Id,Round_ID,Round_Number,Round_Time,Event_Type,Kill_ID,Traded_by_ID,Traded_for_ID,Bomb_Status,Resurrection_ID,Player_ID,Assists,Reference_Player_ID,Damage_Type,Weapon_ID,Ability
124,167897,2577055,14,35539,kill,20487427.0,,,,,763.0,"[{'assistId': 7652546, 'assistantId': 1597, 'damage': 74}]",11412.0,weapon,6.0,
125,167897,2577055,14,35623,kill,20487428.0,,,,,763.0,"[{'assistId': 7652547, 'assistantId': 1802, 'damage': 78}]",1804.0,weapon,6.0,
126,167897,2577056,15,0,start,,,,,,,[],,,,
127,167897,2577056,15,52780,kill,20487429.0,,,,,1012.0,[],4509.0,weapon,6.0,
128,167897,2577056,15,67271,kill,20487434.0,,,,,11412.0,[],763.0,weapon,4.0,
129,167897,2577056,15,67454,plant,,,,1888754.0,,11412.0,[],,,,
130,167897,2577056,15,68415,kill,20487430.0,,,,,1802.0,[],1091.0,weapon,6.0,
131,167897,2577056,15,71557,kill,20487431.0,,,,,1802.0,[],11412.0,weapon,6.0,
132,167897,2577056,15,79758,kill,20487432.0,,,,,1023.0,[],3599.0,weapon,15.0,
133,167897,2577056,15,83775,kill,20487433.0,,,,,1804.0,[],1802.0,weapon,4.0,
134,167897,2577056,15,95339,defuse,,,,1888754.0,,1023.0,[],,,,
135,167897,2577057,16,0,start,,,,,,,[],,,,
136,167897,2577057,16,27003,kill,20487435.0,,,,,1012.0,[],11412.0,weapon,6.0,
137,167897,2577057,16,46954,kill,20487441.0,,,,,763.0,[],4509.0,weapon,6.0,
138,167897,2577057,16,50027,kill,20487439.0,,,,,3599.0,[],763.0,weapon,19.0,
139,167897,2577057,16,52660,kill,20487440.0,,,,,1804.0,[],1802.0,weapon,4.0,
140,167897,2577057,16,57509,kill,20487442.0,,,,,1091.0,"[{'assistId': 7652548, 'assistantId': 1804, 'damage': 23}]",1597.0,weapon,19.0,
141,167897,2577057,16,60444,plant,,,,1888755.0,,1804.0,[],,,,
142,167897,2577057,16,61002,kill,20487436.0,,,,,1012.0,[],3599.0,weapon,6.0,
143,167897,2577057,16,72465,kill,20487437.0,,,,,1012.0,[],1091.0,weapon,6.0,
144,167897,2577057,16,72647,kill,20487438.0,,,,,1012.0,[],1804.0,weapon,6.0,
145,167897,2577057,16,83363,defuse,,,,1888755.0,,1023.0,[],,,,
146,167897,2577058,17,0,start,,,,,,,[],,,,
147,167897,2577058,17,15950,kill,20487448.0,,,,,1804.0,"[{'assistId': 7652551, 'assistantId': 11412, 'damage': 0}]",763.0,ability,,Orbital Strike
148,167897,2577058,17,16092,kill,20487447.0,,,,,1597.0,[],4509.0,weapon,4.0,
149,167897,2577058,17,25453,plant,,,,1888756.0,,11412.0,[],,,,
150,167897,2577058,17,59010,kill,20487446.0,,,,,1023.0,"[{'assistId': 7652550, 'assistantId': 1802, 'damage': 100}]",11412.0,weapon,6.0,
151,167897,2577058,17,59342,kill,20487443.0,,,,,1802.0,[],3599.0,weapon,6.0,
152,167897,2577058,17,63932,kill,20487449.0,,,,,1804.0,[],1597.0,weapon,4.0,
153,167897,2577058,17,64340,kill,20487450.0,,,,,1804.0,"[{'assistId': 7652552, 'assistantId': 1091, 'damage': 148}, {'assistId': 7652553, 'assistantId': 11412, 'damage': 0}]",1023.0,weapon,4.0,
154,167897,2577058,17,65317,kill,20487452.0,20487444.0,,,,1091.0,"[{'assistId': 7652555, 'assistantId': 1804, 'damage': 56}]",1012.0,weapon,4.0,
155,167897,2577058,17,66164,kill,20487444.0,,20487452.0,,,1802.0,[],1091.0,weapon,6.0,
156,167897,2577058,17,71144,kill,20487445.0,,,,,1802.0,"[{'assistId': 7652549, 'assistantId': 1804, 'damage': 106}]",1802.0,bomb,,
