,Map,Round_ID,Round_Number,Player_ID,Agent_ID,Round_Score,Weapon_ID,Armor_ID,Remaining_Credits,Spent_Credits,Loadout_Value,Survived,kast
183,Bind,2577060,19,1802,8,190,6,2.0,600,200,4650,True,True
184,Bind,2577060,19,1597,19,243,4,2.0,1600,4700,4900,True,True
185,Bind,2577060,19,4509,2,227,11,1.0,1200,800,1100,False,True
186,Bind,2577060,19,1091,13,25,4,1.0,1400,400,3550,False,True
187,Bind,2577060,19,3599,6,0,13,,1400,800,800,False,False
188,Bind,2577060,19,11412,21,305,13,,1900,800,1350,False,True
189,Bind,2577060,19,1804,8,23,19,,1750,1200,1650,False,False
190,Bind,2577061,20,763,2,618,6,2.0,2100,1000,4900,False,True
191,Bind,2577061,20,1012,6,308,6,2.0,1200,4600,4600,True,True
192,Bind,2577061,20,1023,21,0,6,2.0,2200,4150,4450,False,False
193,Bind,2577061,20,1802,8,78,6,2.0,3000,500,4950,False,True
194,Bind,2577061,20,1597,19,320,4,2.0,4350,450,4900,False,True
195,Bind,2577061,20,4509,2,630,6,1.0,300,3500,4000,False,True
196,Bind,2577061,20,1091,13,213,4,1.0,50,3750,4000,False,True
197,Bind,2577061,20,3599,6,260,4,1.0,100,3700,3700,False,True
198,Bind,2577061,20,11412,21,0,4,2.0,600,3900,4450,False,True
199,Bind,2577061,20,1804,8,119,4,2.0,150,4000,4450,False,True
200,Bind,2577062,21,763,2,466,6,2.0,900,4900,4900,True,True
201,Bind,2577062,21,1012,6,319,6,2.0,2700,1600,4800,True,True
202,Bind,2577062,21,1023,21,0,6,2.0,1300,3900,4450,True,True
203,Bind,2577062,21,1802,8,270,6,2.0,1700,4300,4950,False,True
204,Bind,2577062,21,1597,19,255,4,2.0,3100,4450,4900,True,True
205,Bind,2577062,21,4509,2,38,19,1.0,2000,1900,2200,False,False
206,Bind,2577062,21,1091,13,25,19,1.0,1400,2050,2450,False,True
207,Bind,2577062,21,3599,6,0,19,1.0,1400,2100,1900,False,True
208,Bind,2577062,21,11412,21,340,13,1.0,2050,1750,1750,False,True
209,Bind,2577062,21,1804,8,0,19,1.0,1650,1700,2050,False,False
210,Bind,2577063,22,763,2,0,6,2.0,2600,1700,4900,False,False
211,Bind,2577063,22,1012,6,238,6,2.0,4500,1400,4800,True,True
212,Bind,2577063,22,1023,21,700,6,2.0,4050,250,4450,False,True
213,Bind,2577063,22,1802,8,21,6,2.0,500,4400,4950,False,True
214,Bind,2577063,22,1597,19,440,4,2.0,5850,450,4900,True,True
215,Bind,2577063,22,4509,2,260,6,2.0,1000,4200,4900,False,True
216,Bind,2577063,22,1091,13,65,4,2.0,250,4350,4850,False,True
